,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Gpr132,0,0,0,1,0,0,0,0,0,0,0,1
Fam135a,0,0,0,1,0,0,0,0,0,0,0,1
Tnpo1,0,0,0,0,0,0,1,0,1,0,1,0
Rtca,1,0,0,0,1,0,0,0,0,0,0,0
Slit3,0,0,0,0,0,0,0,1,0,0,0,0
Ntng1,0,0,0,0,0,0,0,1,0,0,0,0
Nemp2,0,0,0,0,0,0,1,0,0,0,0,0
Mmd2,1,0,0,0,1,0,0,0,0,0,0,0
Ccdc71,0,0,0,0,0,0,0,0,0,0,1,0
Thrb,0,0,1,0,0,0,1,0,0,0,0,0
Pde3b,0,0,0,0,0,0,0,1,0,0,0,0
Phex,1,0,0,0,1,0,0,0,0,0,0,0
Tmem54,0,0,0,0,0,0,0,0,0,0,1,0
Lgalsl,0,0,0,0,0,0,0,0,0,0,1,0
Cdk17,1,0,0,0,1,0,0,0,1,0,0,0
Slc12a9,0,0,0,1,0,0,0,0,0,0,0,1
En2,0,0,0,0,0,0,1,0,0,0,0,0
Pgm2l1,0,0,0,0,0,0,0,0,0,0,1,0
Ldlrad4,0,0,1,0,0,0,0,0,0,0,0,0
Abhd18,0,0,1,0,0,0,0,0,1,0,0,0
Unc119b,0,0,1,0,0,0,0,0,0,0,0,0
Nav2,0,0,0,0,0,0,1,0,0,1,0,0
Runx2,0,0,0,0,0,0,0,1,0,0,0,0
Cdx2,0,0,0,0,0,0,0,0,0,1,0,0
Tex37,0,0,0,0,0,0,0,1,0,0,0,0
Cercam,0,0,0,1,0,0,0,0,0,0,0,1
Grid2ip,0,0,0,1,0,0,0,0,0,0,0,1
Sec24a,1,0,0,0,1,0,0,0,0,0,0,0
Nsd2,0,0,0,0,0,0,0,0,0,1,1,0
Actr3,0,0,0,0,0,0,0,0,1,0,0,0
Liph,0,0,0,1,0,0,0,0,0,0,0,1
Klf3,0,0,0,0,0,0,1,0,1,0,0,0
Fam234b,0,0,0,0,0,0,0,0,1,0,0,0
Ercc6,0,0,0,1,0,0,0,0,0,0,0,1
Stk35,0,0,0,0,0,0,0,0,1,0,0,0
Uqcc1,0,0,0,0,0,0,0,0,0,1,0,0
Aff4,0,0,0,0,0,0,1,0,0,0,0,0
Acsl1,0,0,0,0,0,0,0,1,0,0,0,0
Pdxp,0,0,0,0,0,0,0,0,1,0,0,0
Calcr,0,0,1,0,0,0,0,0,0,0,0,0
Ppp1r13b,0,0,0,0,0,0,0,0,1,0,0,0
Wdr37,0,0,0,1,0,1,1,0,1,0,0,1
Scel,1,0,0,0,1,0,0,0,0,0,0,0
Cpsf6,0,0,0,0,0,0,0,1,0,0,0,0
Tceanc2,0,0,0,0,0,0,0,0,0,1,0,0
Osbpl11,1,0,0,0,1,0,0,0,0,0,0,0
Kdelr2,0,0,0,0,0,0,0,0,0,0,1,0
Ankrd44,1,0,1,0,1,0,0,0,0,0,0,0
Six4,0,0,0,0,0,0,0,0,1,0,0,0
Tra2b,0,0,1,0,0,0,0,0,0,0,0,0
Nod2,0,0,0,0,0,0,1,0,0,0,0,0
Tgfb2,0,0,1,0,0,0,0,0,0,0,0,0
Ssbp3,0,0,0,0,0,0,0,1,0,0,0,0
Jph3,0,0,0,0,0,0,0,0,0,0,1,0
Adora2b,0,0,0,0,0,0,1,0,0,0,0,0
Prl3b1,0,0,0,1,0,0,0,0,0,0,0,1
Urgcp,0,0,1,0,0,0,0,0,0,0,0,0
Mapk8,0,0,0,1,0,0,0,0,0,0,0,1
Aarsd1,0,0,0,0,0,0,0,0,0,1,0,0
Stk40,0,0,0,1,0,0,0,0,0,0,0,1
Mllt10,0,0,0,0,0,0,0,0,0,0,1,0
Diaph1,0,0,0,0,0,0,0,0,0,1,0,0
Elavl2,1,0,1,0,1,0,0,0,0,0,0,0
Rnmt,0,0,1,0,0,0,0,0,0,0,0,0
Cds1,0,0,0,0,0,0,1,0,0,0,1,0
Nkd1,0,0,1,0,0,0,0,0,0,0,0,0
Hapln2,0,0,0,0,0,1,0,0,0,0,0,0
Hcn4,0,0,0,0,0,0,1,0,0,0,0,0
Mpp6,0,0,1,0,0,0,0,0,0,0,0,0
Afdn,0,0,0,0,0,0,0,1,0,0,0,0
Cyp2j3,0,0,1,0,0,0,0,0,0,0,0,0
Abhd6,0,0,0,0,0,0,0,0,1,0,0,0
Arih1,1,0,0,0,1,0,0,0,0,0,0,0
S1pr1,0,0,0,0,0,0,0,0,0,0,1,0
Atxn1,0,0,1,0,0,0,0,0,0,0,0,0
Tmprss2,0,0,0,1,0,0,0,0,0,0,0,1
Ppp1r18,1,0,0,0,1,0,0,0,0,0,0,0
Tnrc6b,0,0,1,0,0,0,0,0,0,0,0,0
Adamts15,0,0,0,1,0,0,0,0,0,0,1,1
Mrpl47,0,0,0,0,0,1,0,0,0,0,0,0
Frs3,0,0,0,0,0,0,1,0,0,0,0,0
Pik3c2a,0,0,0,0,0,0,0,0,1,0,0,0
Casp2,1,0,0,0,1,0,0,0,0,0,0,0
Mier1,0,0,0,1,0,0,0,0,0,0,0,1
Ccl28,0,0,0,0,0,0,0,0,1,0,0,0
Vdac3,0,0,0,0,0,0,1,0,0,0,0,0
Itga6,0,0,1,0,0,0,0,0,0,0,0,0
Cxcl13,0,0,0,0,0,0,0,0,0,0,1,0
Mal2,0,0,0,0,0,0,1,0,0,0,0,0
Slc24a3,0,0,0,0,0,0,0,0,0,0,1,0
Psd4,0,0,0,0,0,0,0,1,0,0,0,0
Dkk2,0,0,0,0,0,0,1,0,0,0,0,0
Ric3,1,0,0,0,1,0,0,0,0,0,0,0
Elavl4,0,0,0,0,0,0,0,0,0,0,1,0
Trak2,0,0,0,0,0,0,0,1,0,0,0,0
Smim3,0,0,0,1,0,0,0,0,0,0,0,1
Zfp275,0,0,0,1,0,0,0,0,0,0,0,1
Tox3,0,0,0,0,0,0,0,0,1,0,0,0
Slc24a2,0,0,0,0,0,0,0,0,0,0,1,0
Tyk2,0,0,0,1,0,0,0,0,0,0,0,1
Ppp1r3a,0,0,0,0,0,0,0,1,0,0,0,0
Hmgb2,0,0,0,0,0,0,0,0,1,0,0,0
Dyrk2,0,0,0,0,0,0,0,0,0,1,0,0
Pnrc1,0,0,0,0,0,0,0,0,1,0,0,0
Edn1,0,0,0,1,0,0,0,0,0,0,0,1
Kctd8,0,0,0,0,0,0,1,0,0,0,0,0
Syvn1,1,0,0,0,1,0,0,0,0,0,0,0
Nup107,1,0,0,0,1,0,0,0,0,0,0,0
Gls,0,0,1,0,0,0,0,0,0,0,0,0
Hykk,0,0,0,0,0,0,0,1,0,0,0,0
Fcho2,0,0,0,0,0,0,0,0,0,0,1,0
Magohb,0,0,0,0,0,0,0,0,1,0,0,0
Rnf2,0,0,0,0,0,0,0,0,0,1,0,0
Stard13,0,0,0,0,0,0,0,0,0,0,1,0
Nptn,0,0,0,0,0,0,0,0,0,0,1,0
Gpr22,0,0,0,0,0,0,0,0,1,0,0,0
