,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Ywhaq,0,0,0,0,0,0,1,0,0,0,0,0
Senp7,0,0,0,0,0,0,0,0,1,0,0,0
Abhd17c,0,0,0,0,0,0,1,0,0,0,0,0
Cabp7,0,0,0,0,0,0,0,0,0,1,1,0
Ikzf5,0,0,1,0,0,0,0,0,0,0,0,0
Nbr1,1,0,0,0,1,0,0,0,0,0,0,0
Ppp1r9b,1,0,0,0,1,0,0,0,0,0,1,0
Il6r,0,0,0,0,0,0,0,0,1,0,0,0
Cnrip1,0,0,0,0,0,0,1,0,0,0,0,0
Gria4,0,0,0,0,0,0,1,0,0,0,0,0
Leng8,0,0,1,0,0,0,0,0,0,0,0,0
Gadd45a,0,0,0,0,0,0,0,0,0,0,1,0
Stk4,0,0,0,0,0,0,0,0,1,0,0,0
Trak1,0,0,0,0,0,0,0,0,0,0,1,0
Virma,0,0,0,1,0,0,0,0,0,0,0,1
Raet1l,0,0,0,0,0,0,0,0,0,1,0,0
Prkaa1,0,1,0,0,0,0,0,0,0,0,0,0
Apbb3,0,0,0,1,0,0,0,0,0,0,0,1
Taf12,0,0,1,0,0,0,0,0,0,0,0,0
Tmem177,0,0,0,0,0,0,1,0,0,0,0,0
Serinc5,0,0,0,0,0,0,0,0,1,0,0,0
Pttg1ip,0,1,0,0,0,0,0,0,0,0,0,0
Sdf2,0,0,0,0,0,0,0,0,0,1,0,0
Inpp1,0,0,0,0,0,0,0,0,1,0,0,0
Amt,0,0,0,1,0,0,0,0,0,0,0,1
Adgrl2,0,0,0,0,0,0,0,0,1,0,0,0
Appbp2,0,0,0,0,0,0,1,0,0,0,0,0
Satb2,0,0,0,0,0,0,1,1,0,0,0,0
Oxtr,0,0,0,0,0,0,0,0,0,1,0,0
Rbpms2,0,0,0,0,0,0,1,0,1,0,0,0
Map7d1,0,0,1,0,0,0,0,0,0,0,0,0
Acly,0,0,0,0,0,0,1,0,0,0,0,0
Adamts9,0,0,0,0,0,0,0,1,0,0,0,0
Marcks,1,0,0,0,1,0,0,0,0,0,0,0
N4bp1,0,0,0,0,0,0,0,0,1,0,0,0
Hic2,0,0,0,1,0,0,0,0,0,0,0,1
Gata2,0,0,0,0,0,0,1,0,0,0,0,0
Igsf8,0,0,0,0,0,0,0,0,1,0,0,0
MGC114246,0,0,0,0,0,0,0,0,1,0,0,0
Tor1b,0,0,0,0,0,0,1,0,0,0,0,0
Mrc1,0,0,0,0,0,0,0,0,1,0,0,0
Nup210,0,0,0,0,0,0,0,0,0,1,0,0
Ppp1r1c,0,0,0,0,0,0,1,0,0,0,0,0
Ppt2,0,0,1,0,0,0,0,0,0,0,0,0
Ambra1,0,0,0,0,0,0,0,0,1,0,0,0
Grb7,0,0,0,0,0,1,0,0,0,0,0,0
Rpgrip1l,0,0,0,0,0,0,1,0,0,0,0,0
Rnd3,0,0,0,0,0,0,0,1,0,0,0,0
Csf1,0,0,0,0,0,0,1,1,0,0,1,0
Usp42,0,0,0,0,0,0,1,0,0,0,0,0
Nme4,0,0,0,1,0,0,0,0,0,0,0,1
Foxa2,0,0,1,0,0,0,0,0,0,0,0,0
Sptssa,1,0,0,0,1,0,0,0,0,0,0,0
Acsbg1,1,0,0,0,1,0,0,0,0,0,0,0
Rnps1,0,1,0,0,0,0,0,0,0,0,0,0
Cers3,0,0,0,0,0,0,0,0,0,1,0,0
Paip1,0,1,0,0,0,0,0,0,0,0,0,0
Ngf,0,0,0,1,0,0,0,0,0,0,0,1
Ralb,0,0,0,0,0,0,0,0,1,0,0,0
Mprip,1,0,0,0,1,0,0,0,0,0,0,0
Gem,1,0,0,0,1,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,1,0,0,0,0,0
Dolpp1,0,0,1,0,0,0,0,0,0,0,0,0
Plcl2,0,0,0,0,0,0,1,0,0,0,0,0
Mier3,0,1,0,0,0,0,1,0,0,0,0,0
Pax6,0,0,0,0,0,1,0,0,0,0,0,0
Myef2,0,0,0,0,0,0,1,0,0,0,0,0
Adamts12,0,0,0,1,0,0,0,0,0,0,0,1
Ube3b,0,0,0,0,0,0,0,0,0,0,1,0
Tfap2a,1,0,0,0,1,0,0,0,0,0,0,0
Npepps,0,0,0,0,0,0,1,0,0,0,0,0
Reln,1,0,0,0,1,0,0,1,0,0,0,0
Terb2,0,0,0,0,0,0,0,0,1,0,0,0
Uhrf1bp1l,0,0,0,0,0,0,0,0,1,0,0,0
Desi2,1,0,0,0,1,0,0,0,0,0,0,0
Astn1,0,0,1,0,0,0,0,0,0,0,0,0
Hook1,1,0,0,0,1,0,0,0,0,0,0,0
Nova1,0,0,0,0,0,0,1,0,0,0,0,0
Nfxl1,0,0,0,0,0,0,0,0,0,1,0,0
Usp32,0,0,0,0,0,0,0,0,0,0,1,0
Ublcp1,0,0,0,0,0,1,0,0,0,0,0,0
Slc35a2,1,0,0,0,1,0,0,0,0,0,0,0
Pitpnm1,1,0,0,0,1,0,0,0,0,0,0,0
Tsc22d2,1,0,0,0,1,0,0,0,0,0,0,0
Snrpc,0,0,0,0,0,0,0,0,1,0,0,0
Fut4,0,0,0,0,0,0,0,0,0,1,0,0
Ndfip2,1,0,0,0,1,0,0,0,1,0,0,0
Rps6kb1,1,0,0,0,1,0,0,0,0,0,0,0
Dcaf15,0,0,0,1,0,0,0,0,0,0,0,1
Dcun1d1,0,0,1,0,0,0,0,0,0,0,0,0
Ascc3,0,0,0,0,0,0,0,0,1,0,0,0
Homer1,0,0,0,0,0,0,0,0,0,0,1,0
Epn2,0,0,0,0,0,0,0,0,0,0,1,0
Pparg,0,0,0,0,0,0,1,0,0,0,0,0
Aak1,0,0,0,0,0,0,0,1,0,0,0,0
Casp7,0,0,0,0,0,0,0,0,1,0,0,0
Snap47,0,0,0,0,0,0,0,0,0,0,1,0
Twistnb,1,0,0,0,1,0,0,0,0,0,0,0
Smurf2,0,0,0,0,0,0,0,0,1,0,1,0
Lsm10,0,0,0,0,0,0,0,0,0,1,0,0
Slc36a4,0,0,0,0,0,0,1,0,0,0,1,0
RGD1561958,0,0,0,0,0,0,0,1,0,0,0,0
Socs5,0,0,0,0,0,1,0,0,0,0,0,0
Tmem170a,0,0,0,0,0,0,1,0,0,0,0,0
Adrb2,0,0,0,1,0,0,0,0,0,0,0,1
Vps13a,0,0,0,0,0,0,1,0,0,0,0,0
Ttyh3,0,0,0,0,0,0,0,0,0,1,0,0
Fign,0,0,0,1,0,0,0,0,0,0,0,1
Tent5a,0,0,0,0,0,0,0,0,1,0,0,0
Nfya,1,0,0,0,1,0,0,0,0,0,0,0
P4ha2,0,0,0,1,0,0,0,0,0,0,0,1
Kirrel3,0,0,0,0,0,1,0,0,0,0,0,0
Stag1,0,0,1,0,0,0,1,0,0,0,0,0
Ahrr,0,0,0,0,0,0,0,0,0,0,1,0
St14,0,0,0,0,0,0,1,0,0,0,0,0
Csnk1g3,1,0,0,0,1,0,0,0,1,0,0,0
Gosr2,1,0,0,0,1,0,1,0,0,0,0,0
Coro6,0,0,0,0,0,0,0,0,0,0,1,0
Serpini1,1,0,0,0,1,0,1,0,0,0,0,0
Ezr,0,0,0,0,0,0,0,1,0,0,0,0
Adam19,0,0,0,0,0,0,1,0,0,0,0,0
Stam,0,0,0,0,0,0,0,0,0,0,1,0
Rrh,0,0,0,0,0,0,0,0,1,0,0,0
Dhx15,0,0,0,0,0,0,0,0,1,0,0,0
Car2,0,0,0,0,0,0,0,0,1,0,0,0
Gxylt1,0,0,0,1,0,0,0,1,1,0,0,1
Rasd1,0,0,0,0,0,1,0,0,0,0,0,0
Ywhag,0,0,1,0,0,0,0,0,0,0,0,0
Ndrg1,0,1,0,0,0,0,0,0,0,0,0,0
Mylk,0,0,0,0,0,1,0,0,0,0,0,0
Mospd2,1,0,0,0,1,0,0,0,0,0,0,0
Hectd2,1,1,0,1,1,0,0,0,0,0,0,1
Tm9sf2,0,0,0,0,0,0,0,1,0,0,0,0
Gap43,0,0,0,0,0,0,0,0,0,0,1,0
Rnf138,0,0,0,0,0,0,0,0,0,1,0,0
Rnf168,1,0,0,0,1,0,0,0,0,0,0,0
Slc35a1,0,0,0,0,0,0,0,1,0,0,0,0
Zfp287,0,0,0,0,0,0,0,0,0,1,0,0
Tle3,0,1,0,0,0,0,0,0,0,0,0,0
Nacc2,0,0,0,0,0,0,0,0,1,0,0,0
Stxbp1,0,0,1,0,0,0,0,0,0,0,0,0
Zc3h6,0,0,1,0,0,0,0,0,0,0,0,0
Ypel2,0,0,0,0,0,0,1,0,0,0,0,0
Pde8b,0,0,0,0,0,0,1,0,0,0,0,0
Eci2,0,0,0,0,0,0,0,0,0,1,0,0
Klhl29,0,0,0,0,0,0,0,1,0,0,0,0
Mau2,0,0,0,0,0,0,0,0,0,1,0,0
Rgs1,0,0,0,0,0,1,1,0,0,0,0,0
Myadm,0,0,1,0,0,0,0,0,0,0,0,0
Radx,0,0,1,0,0,0,0,0,1,0,0,0
Appl2,0,0,0,0,0,0,0,0,0,1,0,0
H2afz,0,0,1,0,0,0,0,0,0,0,0,0
Pla2r1,0,0,0,0,0,0,0,0,1,0,0,0
Arf4,0,1,0,0,0,0,0,0,0,0,0,0
Angel2,0,0,0,0,0,0,0,0,1,0,0,0
Nr2f6,0,0,0,0,0,0,1,0,0,0,0,0
Tox,0,0,0,0,0,0,0,0,1,0,0,0
RGD1560108,1,0,0,0,1,0,0,0,0,0,0,0
Pik3ca,1,0,0,0,1,0,1,0,0,0,0,0
Cnih4,0,0,0,0,0,0,0,0,0,0,1,0
Mycn,0,0,0,1,0,0,0,0,0,0,0,1
Isca2,0,0,0,0,0,0,0,0,1,0,0,0
Cdh11,0,0,0,0,0,0,1,0,0,0,0,0
Sumf1,0,0,0,0,0,0,0,0,1,0,0,0
Pik3cb,1,0,1,0,1,0,0,0,0,0,0,0
Sgcb,0,0,0,0,0,0,0,0,0,0,1,0
Slain2,0,0,1,0,0,0,0,0,0,0,0,0
Fat3,1,0,0,0,1,0,0,0,0,0,0,0
Scyl3,0,0,0,1,0,0,0,0,0,0,0,1
Myt1l,0,0,1,0,0,0,0,0,0,0,0,0
Apol9a,0,0,0,0,0,0,0,0,0,1,0,0
Igf2bp2,0,0,0,1,0,0,0,0,0,0,0,1
Zfp644,0,0,1,0,0,1,0,0,0,0,0,0
Tubb5,1,0,0,0,1,0,0,0,0,0,0,0
Stk38,0,0,0,0,0,0,1,0,0,0,0,0
Coil,0,0,0,1,0,0,0,0,0,0,0,1
Dnajc6,0,0,0,0,0,0,0,0,1,0,0,0
Cldn11,0,0,0,0,0,0,0,1,0,0,0,0
Stradb,0,0,0,0,0,0,1,0,0,0,0,0
Slc7a1,0,0,0,0,0,0,0,0,1,0,0,0
Zmat4,0,0,0,1,0,0,0,0,0,0,0,1
Prpf40a,0,0,0,0,0,1,0,0,0,0,0,0
Ppp2r5e,0,0,0,0,0,0,0,0,1,0,0,0
Mmgt2,1,0,0,0,1,0,0,0,0,0,0,0
Pdik1l,1,0,0,0,1,0,0,0,0,0,0,0
Zfp512b,0,0,0,1,0,0,0,0,0,0,0,1
Gpr75,1,0,0,0,1,0,0,0,0,0,0,0
Chek1,0,0,0,0,0,0,0,0,1,0,0,0
Ppp6r1,0,0,0,0,0,0,0,0,0,0,1,0
Gltp,0,0,0,0,0,0,1,0,0,0,0,0
Hipk1,1,1,1,0,1,0,0,0,0,0,0,0
Alkal2,0,0,0,0,0,0,1,0,0,0,0,0
B4galt3,0,0,0,0,0,0,1,0,0,0,0,0
Ptp4a2,0,0,0,0,0,0,0,0,1,0,0,0
Peg3,0,0,1,0,0,0,0,0,0,0,0,0
Ankrd42,0,0,0,0,0,0,1,0,0,0,0,0
Larp6,0,0,1,0,0,0,0,0,0,0,0,0
Trmt9b,1,0,0,0,1,0,0,0,0,0,0,0
Tmem65,0,0,0,1,0,0,0,0,0,0,0,1
Ssr1,0,0,0,0,0,0,0,0,1,0,0,0
Cand1,0,0,0,0,0,0,0,0,0,0,1,0
Bhlhe22,0,0,0,0,0,0,0,0,0,1,0,0
Map3k9,0,0,0,0,0,0,0,0,0,0,1,0
Ltbp1,0,0,0,0,0,0,0,0,0,0,1,0
Grb2,0,0,1,0,0,0,1,0,0,0,0,0
Ythdf2,0,0,1,0,0,0,0,0,0,0,0,0
Slc35f1,0,0,0,0,0,0,1,0,0,0,0,0
Adrb3,0,0,0,1,0,0,0,0,0,0,0,1
Tgif1,0,0,0,0,0,0,0,0,1,0,0,0
Ugt8,1,0,0,0,1,0,0,0,0,0,0,0
Cipc,0,0,0,0,0,0,1,0,0,0,0,0
Dclk1,0,0,0,0,0,0,1,0,0,0,0,0
Prpf38b,0,0,0,1,0,0,0,0,0,0,0,1
Slc25a25,0,0,0,0,0,0,1,0,0,0,0,0
Nek6,0,0,0,0,0,0,1,0,1,0,0,0
Ddx52,0,0,0,0,0,0,0,1,0,0,0,0
Slc18a2,0,0,0,0,0,0,0,0,1,0,0,0
Tnfaip6,0,0,0,0,0,0,0,0,1,0,0,0
Stat5b,0,0,0,0,0,0,0,0,1,0,0,0
Cxcl12,0,0,0,0,0,0,0,0,1,0,0,0
Tmem135,0,0,1,0,0,0,0,0,0,0,0,0
Zmat3,0,0,0,0,0,0,1,0,0,0,0,0
Phf3,0,0,0,0,0,0,0,0,0,0,1,0
Pard6b,0,0,0,0,0,0,1,0,0,0,0,0
Rfc1,0,0,0,0,0,0,0,0,0,0,1,0
Megf9,0,1,0,0,0,0,0,0,0,0,0,0
Ctag2,0,0,1,0,0,0,0,0,0,0,0,0
Ucp3,0,0,0,0,0,0,0,0,0,0,1,0
Chrdl1,1,0,0,0,1,0,0,0,0,0,0,0
Rnf14,0,0,0,0,0,0,1,0,0,0,0,0
Uqcrfs1,0,0,0,0,0,0,0,0,1,0,0,0
Slit2,1,0,0,0,1,0,0,0,0,0,0,0
Dlx3,0,0,0,0,0,1,0,0,0,0,0,0
Tob1,1,0,0,0,1,0,0,0,0,0,0,0
Smim15,0,0,0,0,0,0,0,0,1,0,0,0
Bnip3l,0,0,0,0,0,0,0,0,1,0,0,0
Ralgapb,0,0,0,0,0,0,0,1,0,0,0,0
Mab21l2,0,0,0,0,0,0,0,0,1,0,0,0
Vstm4,0,0,0,0,0,0,0,0,0,1,0,0
Lypla1,0,0,1,0,0,0,0,0,1,0,0,0
Asah2,0,0,0,0,0,0,0,0,1,0,0,0
Tex29,0,0,0,0,0,0,0,0,0,1,0,0
Cep95,0,0,0,0,0,0,0,0,1,0,0,0
G6pd,0,0,0,0,0,0,0,0,0,1,0,0
Slc6a1,1,0,0,1,1,0,1,0,0,0,0,1
Ebpl,0,0,1,0,0,0,0,0,0,0,0,0
Ppp1r3b,0,0,0,0,0,0,0,0,1,0,0,0
Afap1l1,0,0,0,0,0,1,0,0,0,0,0,0
Bach2,0,0,0,0,0,0,0,0,0,0,1,0
Zfyve16,0,0,0,0,0,0,0,1,0,0,0,0
Apobec3,0,0,0,0,0,0,1,0,0,0,0,0
Zhx1,0,0,0,0,0,0,1,0,0,0,0,0
Cyb561d1,0,0,0,0,0,0,0,0,0,1,0,0
Ttc14,1,0,0,0,1,0,0,0,0,0,0,0
Tcerg1,0,0,1,0,0,0,0,0,0,0,0,0
Ubp1,0,0,0,0,0,1,1,0,0,0,0,0
Cltc,0,0,0,0,0,0,0,1,0,0,0,0
Tspyl4,0,0,0,0,0,0,1,0,0,0,0,0
Nabp1,0,0,0,0,0,0,1,0,0,0,0,0
Agap1,0,0,0,0,0,0,0,0,1,0,0,0
Insr,0,0,0,0,0,0,1,0,0,0,0,0
Dcun1d4,0,1,0,0,0,0,1,0,1,0,0,0
Mtmr10,0,0,0,0,0,0,0,0,0,0,1,0
Mettl15,0,0,0,0,0,0,0,0,0,0,1,0
Shroom2,0,0,1,0,0,0,0,0,0,0,0,0
Nr3c1,0,0,1,0,0,0,0,0,0,0,0,0
Tox4,0,0,0,0,0,0,0,1,0,0,0,0
Exoc3l4,0,0,0,0,0,0,0,0,1,0,0,0
Cbx2,0,0,0,1,0,0,0,0,0,0,0,1
Rsbn1l,0,1,0,0,0,0,0,0,0,1,0,0
Eif3j,0,1,0,0,0,0,0,0,0,0,0,0
Rap1a,0,0,0,0,0,0,0,0,1,1,0,0
Ammecr1l,0,0,0,1,0,0,0,0,0,0,0,1
Ppif,0,0,0,0,0,0,1,0,1,0,0,0
Ccne2,0,0,1,0,0,0,0,0,0,0,0,0
Polr3d,0,0,0,0,0,0,0,0,0,1,0,0
Cox15,0,0,0,0,0,0,0,0,0,1,0,0
Ttc7b,0,0,0,0,0,0,0,0,1,0,0,0
Dennd5a,1,0,0,0,1,0,0,0,0,0,0,0
Wasf1,1,0,0,0,1,0,0,0,0,0,0,0
Fam210a,1,0,0,0,1,0,0,0,0,0,0,0
Rdx,0,0,0,1,0,0,0,0,0,0,0,1
Thap12,0,0,0,0,0,0,0,0,1,0,0,0
Adgrg2,0,0,0,0,0,0,0,0,1,0,0,0
RGD1305464,0,0,0,1,0,0,0,0,0,0,0,1
Acer1,0,0,0,1,0,0,0,0,0,0,0,1
Vwa3a,0,0,0,0,0,0,0,0,1,0,0,0
Inpp4a,1,0,0,0,1,0,0,0,0,0,0,0
Cdc34,0,0,0,1,0,0,0,0,0,0,0,1
Lipt2,0,0,0,1,0,0,0,0,0,0,0,1
Rgma,0,0,0,0,0,0,0,0,0,0,1,0
Sgk1,0,0,0,0,0,1,0,0,0,0,0,0
Arpc5,0,0,1,0,0,0,0,0,0,0,0,0
Ubac2,0,0,0,0,0,1,0,0,0,0,0,0
Lrig2,0,0,0,1,0,0,0,0,0,0,0,1
Mknk2,0,0,0,0,0,0,1,0,0,0,0,0
Akirin1,0,0,0,0,0,0,1,0,0,0,0,0
Amotl2,0,0,0,0,0,0,0,0,0,1,0,0
Esrrg,0,0,0,0,0,0,0,1,0,0,1,0
Anks1a,0,0,0,0,0,1,0,0,0,0,0,0
Kif2b,0,0,0,1,0,0,0,0,0,0,0,1
Reep3,0,0,0,0,0,1,0,0,0,0,0,0
Pgrmc1,0,0,0,1,0,0,0,0,0,0,0,1
Elf5,0,0,0,0,0,0,0,0,1,0,0,0
Ddx19b,0,0,0,1,0,0,0,0,0,0,0,1
Pcsk9,0,0,0,0,0,0,0,1,0,0,0,0
Cnot6l,0,0,0,1,0,0,0,0,0,0,0,1
Sorcs3,0,0,0,0,0,1,0,0,0,0,0,0
Ccnj,0,0,0,0,0,0,1,1,0,0,0,0
Limk1,0,0,0,0,0,0,1,0,0,0,0,0
Ppp1r10,0,0,0,0,0,0,0,0,0,0,1,0
Dusp1,1,0,0,0,1,0,0,0,0,0,0,0
Sell,0,0,0,0,0,0,1,0,0,0,0,0
Fos,0,1,0,0,0,0,0,0,0,0,0,0
Enpp4,0,0,0,0,0,0,0,1,0,0,0,0
MGC95208,0,0,0,0,0,0,0,0,1,0,0,0
Clec1a,0,0,0,0,0,0,0,0,1,0,0,0
Usp34,0,0,0,0,0,0,1,0,0,0,0,0
Plk2,0,0,0,0,0,0,1,0,0,0,0,0
Stk39,0,0,0,0,0,0,1,0,0,0,0,0
Wnt9b,0,0,0,1,0,0,0,0,0,0,0,1
Pbx2,0,0,0,1,0,0,0,0,0,0,0,1
Chka,0,0,0,0,0,0,1,0,0,0,0,0
Mgarp,0,0,1,0,0,0,0,0,0,0,0,0
Dock7,0,0,0,0,0,0,0,0,1,0,0,0
Aen,0,0,0,1,0,0,0,0,0,0,0,1
Ddx19a,0,0,0,1,0,0,0,0,0,0,0,1
Tnrc6a,0,0,0,0,0,0,0,0,0,0,1,0
Fam193b,0,0,0,0,0,0,1,0,0,0,0,0
Cxcr3,0,0,0,0,0,0,0,0,0,1,0,0
Pdia5,0,0,0,0,0,0,1,0,0,0,0,0
Ptprj,0,0,0,0,0,0,0,1,0,0,0,0
Begain,0,0,0,1,0,0,0,0,0,0,0,1
Nap1l3,1,0,0,0,1,0,0,0,0,0,0,0
Apaf1,0,0,0,0,0,0,1,0,0,0,0,0
Bap1,1,0,0,0,1,0,0,0,0,0,0,0
Cdk13,0,0,1,0,0,0,0,0,0,0,0,0
Snap91,0,0,0,0,0,0,0,0,0,1,0,0
Tspan5,0,0,0,1,0,0,0,0,0,0,0,1
Cdk8,0,0,1,0,0,0,0,0,0,0,0,0
Cnr1,0,0,1,0,0,0,0,0,0,0,0,0
Usp48,0,0,0,0,0,1,0,0,0,0,0,0
Ppp4r4,0,0,0,0,0,0,0,0,1,0,0,0
Npc2,1,0,0,0,1,0,0,0,0,0,0,0
Nme6,0,0,0,1,0,0,0,0,0,0,0,1
Mboat2,1,0,0,0,1,0,0,0,0,0,0,0
Szrd1,0,0,0,0,0,0,1,0,0,0,0,0
Saxo2,0,0,0,1,0,0,0,0,0,0,0,1
Srd5a1,0,0,0,0,0,0,0,1,0,0,0,0
Mboat7,0,0,0,0,0,0,0,0,0,1,0,0
RGD1307100,0,0,0,0,0,0,1,0,0,0,0,0
Prickle2,0,0,0,0,0,0,0,0,0,0,1,0
Pdk1,0,0,1,0,0,0,0,0,0,0,0,0
Myct1,0,0,0,0,0,0,0,0,1,0,0,0
Utp23,0,0,0,0,0,0,1,0,0,0,0,0
Abcb9,0,0,0,1,0,0,1,0,0,1,0,1
Cpsf4,0,0,0,0,0,0,0,0,1,0,0,0
Rnf145,0,0,1,0,0,0,0,0,0,0,0,0
Map4k4,0,0,0,0,0,0,0,0,1,0,0,0
Zwint,0,0,0,0,0,0,0,0,1,0,0,0
Myt1,0,0,0,0,0,0,1,0,0,0,0,0
B3galt1,0,0,0,1,0,0,0,0,0,0,0,1
Frk,0,0,0,0,0,0,0,1,0,0,0,0
Rbm41,0,0,0,0,0,0,0,0,0,1,0,0
Zfp458,0,0,0,0,0,0,0,0,1,0,0,0
Nupl2,0,0,0,0,0,0,0,0,0,1,0,0
Itga11,0,0,0,0,0,0,0,0,0,0,1,0
Axin2,0,0,0,0,0,0,0,1,0,0,0,0
Map3k7,0,0,1,0,0,0,0,0,0,0,0,0
Ccdc134,0,0,0,1,0,0,0,0,0,0,0,1
Zfp532,1,0,0,0,1,0,0,0,0,0,0,0
Fhl1,1,0,0,0,1,0,0,0,0,0,0,0
Pla2g6,0,0,0,0,0,0,1,0,0,0,0,0
Foxp4,0,0,0,0,0,0,1,0,0,0,0,0
C1galt1,0,0,0,0,0,0,0,0,0,0,1,0
Ing5,0,0,0,0,0,0,1,0,0,0,0,0
Nup160,1,0,0,0,1,0,0,0,0,0,0,0
Cript,0,0,0,0,0,0,0,0,1,0,0,0
Ep400,0,0,0,0,0,0,0,0,1,0,0,0
Ctsql2,0,0,0,0,0,0,0,0,1,0,0,0
Ube2v1,0,0,0,0,0,0,1,0,0,0,0,0
Dusp7,0,0,1,0,0,0,0,1,0,0,0,0
Pank1,0,0,0,0,0,0,1,0,0,0,0,0
Errfi1,1,0,0,0,1,0,0,0,0,0,1,0
Tmem110,0,0,1,0,0,0,0,0,0,0,0,0
Runx1,0,0,0,0,0,0,1,0,0,0,0,0
Ing2,0,1,0,0,0,0,0,0,0,0,1,0
Sec16b,0,0,0,1,0,0,0,0,0,0,0,1
Ankrd17,0,0,0,0,0,1,1,0,0,0,0,0
Zfp292,1,0,0,0,1,0,0,0,1,0,0,0
Slitrk1,1,0,0,0,1,0,1,0,0,0,0,0
Ing3,0,0,0,0,0,1,0,0,0,0,0,0
Crbn,0,0,0,0,0,1,0,0,0,0,0,0
Fbxo33,1,0,0,0,1,0,0,0,0,0,0,0
Agmo,0,0,0,0,0,0,0,0,1,0,0,0
Chsy1,1,1,0,0,1,0,0,0,0,0,0,0
Poglut1,0,0,0,0,0,0,1,0,0,0,0,0
St6galnac5,1,0,0,0,1,0,0,0,0,0,0,0
Sec14l1,0,0,0,0,0,0,0,0,1,0,0,0
Tbp,0,0,0,0,0,0,0,0,0,0,1,0
Socs6,0,0,0,0,0,0,0,0,1,0,0,0
Has2,0,0,0,1,0,0,0,0,1,0,0,1
Pomk,0,0,0,0,0,0,0,0,0,1,0,0
Brsk1,0,0,0,0,0,0,1,0,0,0,0,0
Mgrn1,0,0,0,0,0,0,0,1,0,0,0,0
RSA-14-44,0,1,0,0,0,0,0,0,0,0,0,0
Wdr47,0,1,0,0,0,0,0,0,0,0,0,0
Ppfia1,0,0,1,0,0,0,0,0,0,0,0,0
Atp7a,0,0,0,0,0,0,0,0,0,0,1,0
Cacna1c,1,0,0,0,1,0,0,0,0,0,0,0
Rbm26,1,0,0,0,1,0,0,0,0,0,0,0
Olr1,0,0,0,1,0,0,0,0,0,0,0,1
Gcc2,0,0,0,0,0,0,1,0,0,0,0,0
Rnf139,0,0,0,0,0,0,1,0,0,0,0,0
Acss3,0,0,0,0,0,0,1,0,0,0,0,0
Klhl6,0,0,0,1,0,0,0,0,0,0,0,1
Inhbb,0,0,0,0,0,0,0,0,0,0,1,0
Trmt10c,0,0,0,0,0,0,1,0,0,0,0,0
Rer1,0,0,0,0,0,0,0,0,0,1,0,0
Gata6,0,0,1,0,0,0,0,0,0,0,0,0
Ddit4,0,1,0,0,0,0,0,0,0,0,0,0
Myh2,0,0,0,0,0,0,0,0,1,0,0,0
Nudcd1,0,0,1,0,0,0,0,0,0,0,0,0
Tgfbr1,0,0,0,1,0,0,0,0,0,0,0,1
Nrcam,0,0,1,0,0,0,0,0,0,0,0,0
Fbxl12,0,0,0,1,0,0,0,0,0,0,0,1
Esrp1,0,0,0,0,0,0,0,0,1,0,0,0
Dram2,0,0,0,0,0,0,1,0,0,0,0,0
Fosb,0,0,0,0,0,0,1,0,1,0,0,0
Slc2a12,0,0,0,1,0,0,0,0,0,0,0,1
Cyp26b1,0,0,1,0,0,0,0,0,0,0,0,0
Zfand6,1,0,0,0,1,0,0,0,0,0,0,0
Setd5,0,0,0,0,0,0,1,0,0,0,0,0
Epm2aip1,1,0,0,0,1,0,0,0,0,0,0,0
Ppp1r15b,0,0,1,0,0,0,0,1,0,0,0,0
Kcnk2,0,0,0,0,0,0,1,0,0,1,0,0
RGD1309748,1,0,0,0,1,0,0,0,0,0,0,0
Zcchc24,1,0,0,0,1,0,0,0,0,0,0,0
Mmgt1,1,0,0,0,1,0,0,0,0,0,0,0
Xpnpep2,0,0,0,0,0,0,1,0,0,0,0,0
Trhde,0,0,1,0,0,1,0,0,0,0,0,0
Vcan,0,0,0,0,0,0,0,0,1,0,0,0
Rasgrp1,0,0,0,1,0,0,0,0,0,0,0,1
Camta1,0,0,0,0,0,0,0,0,1,0,0,0
Bicc1,0,0,0,0,0,0,0,1,0,0,1,0
Dip2c,0,0,0,0,0,0,0,0,1,0,0,0
Marcksl1,0,0,0,0,0,0,0,0,1,0,0,0
Peli2,0,0,0,0,0,0,1,0,0,0,0,0
Ap1s2,1,0,0,0,1,0,0,0,0,0,0,0
Zc3h13,0,0,0,0,0,0,0,0,1,0,0,0
Lpar6,0,0,0,0,0,0,1,0,0,0,0,0
Klf6,0,0,1,0,0,0,0,0,0,0,0,0
Pbx1,0,0,0,1,0,0,0,0,0,0,0,1
Plpp6,0,0,0,1,0,0,0,0,0,0,0,1
Sema6d,1,1,0,0,1,0,1,0,1,0,0,0
Fnip1,0,0,0,1,0,0,0,0,0,0,0,1
Tmpo,0,0,0,0,0,1,0,0,1,0,0,0
Cdc7,0,0,1,0,0,0,0,0,0,0,0,0
Cpne8,0,0,0,0,0,0,1,0,0,0,0,0
Zeb1,1,0,1,0,1,0,0,1,1,0,0,0
Smad4,0,0,0,0,0,0,0,1,0,0,0,0
Rad17,0,0,0,0,0,0,0,1,1,0,0,0
